"epoch","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX"
"20","101.5","100","103","0.3172759786248207","0.27374032139778137","0.3501972556114197","101.5","100","103","0.2512550838291645","0.21752381324768066","0.28590476512908936","101.5","100","103","0.32799670845270157","0.3212909698486328","0.34549811482429504","60.5","60","61","0.39729636907577515","0.3747142553329468","0.4198784828186035","60.5","60","61","0.49535349011421204","0.44521379470825195","0.5454931855201721","60.5","60","61","0.4958210587501526","0.4909793734550476","0.5006627440452576"
"21","106.5","105","108","0.33489568531513214","0.3003045320510864","0.3638257682323456","106.5","105","108","0.2842465713620186","0.24084776639938354","0.337514191865921","106.5","105","108","0.32085298001766205","0.30055558681488037","0.35746121406555176","63.5","63","64","0.45598630607128143","0.4390377402305603","0.47293487191200256","63.5","63","64","0.5025694817304611","0.49104759097099304","0.5140913724899292","63.5","63","64","0.4736235439777374","0.41966766119003296","0.5275794267654419"
"22","111.5","110","113","0.3486514538526535","0.32524654269218445","0.4023946225643158","111.5","110","113","0.285917229950428","0.2710476219654083","0.30810052156448364","111.5","110","113","0.3523736074566841","0.33361268043518066","0.36933332681655884","66.5","66","67","0.4404761791229248","0.4333333373069763","0.4476190209388733","66.5","66","67","0.538628488779068","0.5017361044883728","0.5755208730697632","66.5","66","67","0.5105109512805939","0.47646045684814453","0.5445614457130432"
"23","116.5","115","118","0.35084500163793564","0.31617647409439087","0.378742516040802","116.5","115","118","0.314751997590065","0.3008981943130493","0.3314814567565918","116.5","115","118","0.3466983288526535","0.3132353127002716","0.38857144117355347","69.5","69","70","0.5006443411111832","0.4914948642253876","0.5097938179969788","69.5","69","70","0.576082170009613","0.5481292009353638","0.6040351390838623","69.5","69","70","0.4603794515132904","0.4088541865348816","0.5119047164916992"
"24","121.5","120","123","0.3631359338760376","0.3463178277015686","0.37731754779815674","121.5","120","123","0.3116137459874153","0.2647113502025604","0.3343137502670288","121.5","120","123","0.36571019887924194","0.3570588231086731","0.37504929304122925","72.5","72","73","0.5339891612529755","0.508184552192688","0.5597937703132629","72.5","72","73","0.6044787168502808","0.5858843326568604","0.6230731010437012","72.5","72","73","0.5553570985794067","0.5410774946212769","0.5696367025375366"
"25","126.5","125","128","0.34909801185131073","0.32413792610168457","0.3741810917854309","126.5","125","128","0.31014760583639145","0.2849999964237213","0.3238636553287506","126.5","125","128","0.3743124231696129","0.3481372594833374","0.408777117729187","75.5","75","76","0.5130344927310944","0.4909864068031311","0.5350825786590576","75.5","75","76","0.5705609321594238","0.5540330410003662","0.5870888233184814","75.5","75","76","0.5278229117393494","0.5190232992172241","0.5366225242614746"
"26","131.5","130","133","0.3802330866456032","0.35664844512939453","0.40311890840530396","131.5","130","133","0.3239462971687317","0.27025192975997925","0.35077521204948425","131.5","130","133","0.40176303684711456","0.3634503185749054","0.4436274468898773","78.5","78","79","0.4997168183326721","0.4882652759552002","0.511168360710144","78.5","78","79","0.5363816171884537","0.49969926476478577","0.5730639696121216","78.5","78","79","0.457597941160202","0.4332093298435211","0.48198655247688293"
"27","136.5","135","138","0.36308271437883377","0.3485795557498932","0.38499027490615845","136.5","135","138","0.3091428726911545","0.2750000059604645","0.37764933705329895","136.5","135","138","0.3779841735959053","0.33779066801071167","0.46078434586524963","81.5","81","82","0.5111305713653564","0.5094665288925171","0.5127946138381958","81.5","81","82","0.579297661781311","0.5608843564987183","0.5977109670639038","81.5","81","82","0.5360874831676483","0.5132275819778442","0.5589473843574524"
"28","141.5","140","143","0.36629971861839294","0.32870373129844666","0.40388256311416626","141.5","140","143","0.3321453630924225","0.3008522689342499","0.36095765233039856","141.5","140","143","0.39257076382637024","0.3774224817752838","0.40039217472076416","84.5","84","85","0.5382354855537415","0.534415602684021","0.5420553684234619","84.5","84","85","0.5958515405654907","0.578632116317749","0.6130709648132324","84.5","84","85","0.5440019369125366","0.4958634376525879","0.5921404361724854"
"29","146.5","145","148","0.39345312118530273","0.35725492238998413","0.44255954027175903","146.5","145","148","0.3161568269133568","0.3043103516101837","0.33726054430007935","146.5","145","148","0.38507944345474243","0.35009634494781494","0.46162551641464233","87.5","87","88","0.5246922373771667","0.4966810941696167","0.5527033805847168","87.5","87","88","0.5798474252223969","0.5214523673057556","0.6382424831390381","87.5","87","88","0.5734172463417053","0.5247084498405457","0.622126042842865"
"30","151.5","150","153","0.38178155571222305","0.3591337203979492","0.40000003576278687","151.5","150","153","0.3297695219516754","0.29798853397369385","0.3569105565547943","151.5","150","153","0.4098908305168152","0.40000003576278687","0.4282738268375397","90.5","90","91","0.5710903108119965","0.5671929717063904","0.5749876499176025","90.5","90","91","0.6107910871505737","0.5907042026519775","0.6308779716491699","90.5","90","91","0.5359009504318237","0.5220870971679688","0.5497148036956787"
"31","156.5","155","158","0.3930535763502121","0.3780980110168457","0.4223484992980957","156.5","155","158","0.33257732540369034","0.30416667461395264","0.3861904740333557","156.5","155","158","0.39122190326452255","0.3710784316062927","0.4054460823535919","93.5","93","94","0.5971719622612","0.5879251956939697","0.6064187288284302","93.5","93","94","0.6163375675678253","0.6056700944900513","0.6270050406455994","93.5","93","94","0.6182506382465363","0.6020407676696777","0.6344605088233948"
"32","161.5","160","163","0.38150298595428467","0.3124053180217743","0.42500001192092896","161.5","160","163","0.347454272210598","0.2785714268684387","0.458039253950119","161.5","160","163","0.40730247646570206","0.37017542123794556","0.4387896656990051","96.5","96","97","0.5817051827907562","0.5732080340385437","0.5902023315429688","96.5","96","97","0.6254532933235168","0.6163214445114136","0.6345851421356201","96.5","96","97","0.5581275522708893","0.5211613178253174","0.5950937867164612"
"33","166.5","165","168","0.4065519645810127","0.3689788281917572","0.44081443548202515","166.5","165","168","0.3569970950484276","0.3378870487213135","0.3821839392185211","166.5","165","168","0.4179430827498436","0.34913793206214905","0.4571149945259094","99.5","99","100","0.5807498395442963","0.5802282094955444","0.5812714695930481","99.5","99","100","0.6293753087520599","0.6075478792190552","0.6512027382850647","99.5","99","100","0.5667893886566162","0.5499018430709839","0.5836769342422485"
"34","171.5","170","173","0.41827575862407684","0.3747563362121582","0.4576628506183624","171.5","170","173","0.3672317937016487","0.3364008069038391","0.38535913825035095","171.5","170","173","0.42096047103405","0.35222870111465454","0.46114516258239746","102.5","102","103","0.5332725942134857","0.5267006754875183","0.5398445129394531","102.5","102","103","0.6013154983520508","0.5813988447189331","0.6212321519851685","102.5","102","103","0.5722004473209381","0.556430995464325","0.5879698991775513"
"35","176.5","175","178","0.4589431658387184","0.4281676709651947","0.49331340193748474","176.5","175","178","0.37554335594177246","0.3554913103580475","0.3960080146789551","176.5","175","178","0.4645359367132187","0.4244639277458191","0.4999999403953552","105.5","105","106","0.5958752036094666","0.5147744417190552","0.6769759654998779","105.5","105","106","0.602940022945404","0.5910841226577759","0.6147959232330322","105.5","105","106","0.6119199991226196","0.5477982759475708","0.6760417222976685"
"36","181.5","180","183","0.3882110118865967","0.36986029148101807","0.4157879948616028","181.5","180","183","0.3603992685675621","0.33986353874206543","0.37536898255348206","181.5","180","183","0.4152185842394829","0.38572797179222107","0.4568922221660614","108.5","108","109","0.6167160272598267","0.607216477394104","0.6262155771255493","108.5","108","109","0.5638734698295593","0.5423333644866943","0.5854135751724243","108.5","108","109","0.6028566360473633","0.593833327293396","0.6118799448013306"
"37","186.5","185","188","0.40903815627098083","0.3891518712043762","0.44064515829086304","186.5","185","188","0.3607938066124916","0.3201596736907959","0.3966270089149475","186.5","185","188","0.42503882944583893","0.3863636255264282","0.4611111283302307","111.5","111","112","0.5832859873771667","0.5377551317214966","0.6288168430328369","111.5","111","112","0.6555721759796143","0.6151041984558105","0.696040153503418","111.5","111","112","0.5900071263313293","0.5828125476837158","0.5972017049789429"
"38","191.5","190","193","0.4151332378387451","0.36796408891677856","0.4777108430862427","191.5","190","193","0.3697021082043648","0.33011695742607117","0.45020079612731934","191.5","190","193","0.44244644045829773","0.4113772511482239","0.4796523451805115","114.5","114","115","0.6004008650779724","0.5926870703697205","0.6081146597862244","114.5","114","115","0.6586912870407104","0.6535228490829468","0.6638597249984741","114.5","114","115","0.6217852234840393","0.6215773820877075","0.6219930648803711"
"39","196.5","195","198","0.4502973034977913","0.4399802088737488","0.47117647528648376","196.5","195","198","0.3527287468314171","0.32054924964904785","0.3759689927101135","196.5","195","198","0.42929620295763016","0.4076305031776428","0.4486512541770935","117.5","117","118","0.5995453894138336","0.5872852206230164","0.6118055582046509","117.5","117","118","0.6317176520824432","0.5969387292861938","0.6664965748786926","117.5","117","118","0.6376722157001495","0.6124578714370728","0.6628865599632263"
